ticker,rows,first,last
AAPL,1238,2019-01-31,2023-12-29
AMD,1238,2019-01-31,2023-12-29
AMZN,1238,2019-01-31,2023-12-29
AVGO,1238,2019-01-31,2023-12-29
BAC,1238,2019-01-31,2023-12-29
CAT,1238,2019-01-31,2023-12-29
CVX,1238,2019-01-31,2023-12-29
GOOGL,1238,2019-01-31,2023-12-29
HON,1238,2019-01-31,2023-12-29
INTC,1238,2019-01-31,2023-12-29
JNJ,1238,2019-01-31,2023-12-29
JPM,1238,2019-01-31,2023-12-29
KO,1238,2019-01-31,2023-12-29
META,1238,2019-01-31,2023-12-29
MSFT,1238,2019-01-31,2023-12-29
NVDA,1238,2019-01-31,2023-12-29
PEP,1238,2019-01-31,2023-12-29
PG,1238,2019-01-31,2023-12-29
SPY,1238,2019-01-31,2023-12-29
TSLA,1238,2019-01-31,2023-12-29
XOM,1238,2019-01-31,2023-12-29
